nonstandard,standard,explanation,manuscript,code_verse,byz_verse_text
ηπιθησαν,ηπειθησαν,"nonstandard ι, standard ει",,,
ηπιθουν,ηπειθουν,"nonstandard ι, standard ει",,,
ηπιλει,ηπειλει,"standard ει, nonstandard ι",,,
ηπιστισαν,ηπιστησαν,η and ι,,,
ηπτοντω,ηπτοντο,ο and ω,,,
ηπτωντο,ηπτοντο,ο and ω,,,
ηραται,ηρατε,"nonstandard αι, standard ε",,,
ηρημωθι,ηρημωθη,η and ι,,,
ηριθμιμεναι,ηριθμημεναι,η and ι,,,
ηρνειτω,ηρνειτο,ο and ω,,,
ηρνησασθαι,ηρνησασθε,"nonstandard αι, standard ε",,,
ηρνησατω,ηρνησατο,ο and ω,,,
ηρνισαντο,ηρνησαντο,η and ι,,,
ηρνισασθε,ηρνησασθε,η and ι,,,
ηρνισατο,ηρνησατο,η and ι,,,
ηρνισω,ηρνησω,η and ι,,,
ηρξαντω,ηρξαντο,ο and ω,,,
ηρξατω,ηρξατο,ο and ω,,,
ηρχετω,ηρχετο,ο and ω,,,
ηρχοντω,ηρχοντο,ο and ω,,,
ηρχωντο,ηρχοντο,ο and ω,,,
ηρωδειαδος,ηρωδιαδος,"standard ι, nonstandard ει",,,
ηρωδιαδως,ηρωδιαδος,ο and ω,,,
ηρωδις,ηρωδης,η and ι,,,
ηρωτισαν,ηρωτησαν,η and ι,,,
ηρωτισεν,ηρωτησεν,η and ι,,,
ησθειον,ησθιον,"standard ι, nonstandard ει",,,
ησθενι,ησθενει,"nonstandard ι, standard ει",,,
ησθενισα,ησθενησα,η and ι,,,
ησφαλεισατο,ησφαλισατο,"nonstandard ει, standard ι",,,
ησφαλισαντω,ησφαλισαντο,ο and ω,,,
ηται,ητε,"nonstandard αι, standard ε",,,
ητειμασαν,ητιμασαν,"standard ι, nonstandard ει",,,
ητειμασατε,ητιμασατε,"nonstandard ει, standard ι",,,
ητησασθαι,ητησασθε,"nonstandard αι, standard ε",,,
ητησαται,ητησατε,"nonstandard αι, standard ε",,,
ητησατω,ητησατο,ο and ω,,,
ητιμωμενων,ητιμωμενον,ο and ω,,,
ητισαντο,ητησαντο,η and ι,,,
ητισασθε,ητησασθε,η and ι,,,
ητισατο,ητησατο,η and ι,,,
ητοιμασμενων,ητοιμασμενον,ο and ω,,,
ητουντω,ητουντο,ο and ω,,,
ηυλισαμεν,ηυλησαμεν,η and ι,,,
ηφειεν,ηφιεν,"nonstandard ει, standard ι",,,
ηψατω,ηψατο,ο and ω,,,
θαδδαιως,θαδδαιος,ο and ω,,,
θαλασσις,θαλασσης,η and ι,,,
θανασειμον,θανασιμον,"standard ι, nonstandard ει",,,
θανασιμων,θανασιμον,ο and ω,,,
θαρσειται,θαρσειτε,"nonstandard αι, standard ε",,,
θαρσι,θαρσει,"nonstandard ι, standard ει",,,
θαρσιτε,θαρσειτε,"nonstandard ι, standard ει",,,
θαρσως,θαρσος,ο and ω,,,
θαυμαζεται,θαυμαζετε,"nonstandard αι, standard ε",,,
θαυμαζηται,θαυμαζητε,"nonstandard αι, standard ε",,,
θαυμαζιν,θαυμαζειν,"nonstandard ι, standard ει",,,
θαυμασαται,θαυμασατε,"nonstandard αι, standard ε",,,
θαυμαστι,θαυμαστη,η and ι,,,
θαυμαστων,θαυμαστον,ο and ω,,,
θαυμασωνται,θαυμασονται,ο and ω,,,
θεασασθαι,θεασασθε,"nonstandard αι, standard ε",,,
θειγης,θιγης,"nonstandard ει, standard ι",,,
θειων,θειον,ο and ω,,,
θελεται,θελετε,"nonstandard αι, standard ε",,,
θεληται,θελητε,"nonstandard αι, standard ε",,,
θελι,θελει,"nonstandard ι, standard ει",,,
θελιμα,θελημα,η and ι,,,
θελιματα,θεληματα,η and ι,,,
θελιν,θελειν,"nonstandard ι, standard ει",,,
θελις,θελεις,"nonstandard ι, standard ει",,,
θελωμεν,θελομεν,ο and ω,,,
θελωντων,θελοντων,ο and ω,,,
θεμελεια,θεμελια,"nonstandard ει, standard ι",,,
θεμελειον,θεμελιον,"standard ι, nonstandard ει",,,
θεοφειλε,θεοφιλε,"nonstandard ει, standard ι",,,
θεραπευεσθαι,θεραπευεσθε,"nonstandard αι, standard ε",,,
θεραπευεται,θεραπευετε,"nonstandard αι, standard ε",,,
θεραπευσι,θεραπευσει,"nonstandard ι, standard ει",,,
θεραπιαν,θεραπειαν,"nonstandard ι, standard ει",,,
θεραπιας,θεραπειας,"nonstandard ι, standard ει",,,
θερεισμος,θερισμος,"standard ι, nonstandard ει",,,
θερεισται,θερισται,"standard ι, nonstandard ει",,,
θερισι,θερισει,"standard ει, nonstandard ι",,,
θερισωμεν,θερισομεν,ο and ω,,,
θερμαινωμενος,θερμαινομενος,ο and ω,,,
θεσθαι,θεσθε,"nonstandard αι, standard ε",,,
θεσσαλονεικεων,θεσσαλονικεων,"nonstandard ει, standard ι",,,
θεσσαλονεικεως,θεσσαλονικεως,"nonstandard ει, standard ι",,,
θεσσαλονεικη,θεσσαλονικη,"nonstandard ει, standard ι",,,
θεσσαλονεικην,θεσσαλονικην,"nonstandard ει, standard ι",,,
θεσσαλονεικης,θεσσαλονικης,"nonstandard ει, standard ι",,,
θεσσαλονικαιων,θεσσαλονικεων,"nonstandard αι, standard ε",,,
θεσσαλονικαιως,θεσσαλονικεως,"nonstandard αι, standard ε",,,
θεσσαλονικι,θεσσαλονικη,η and ι,,,
θεσσαλονικιν,θεσσαλονικην,η and ι,,,
θεσσαλωνικεων,θεσσαλονικεων,ο and ω,,,
θεσσαλωνικεως,θεσσαλονικεως,ο and ω,,,
θεσσαλωνικη,θεσσαλονικη,ο and ω,,,
θεσσαλωνικην,θεσσαλονικην,ο and ω,,,
θεσσαλωνικης,θεσσαλονικης,ο and ω,,,
θεωμαχοι,θεομαχοι,ο and ω,,,
θεων,θεον,ο and ω,,,
θεωρειται,θεωρειτε,"nonstandard αι, standard ε",,,
θεωρηται,θεωρητε,"nonstandard αι, standard ε",,,
θεωριν,θεωρειν,"nonstandard ι, standard ει",,,
θεωρις,θεωρεις,"nonstandard ι, standard ει",,,
θεωρισαι,θεωρησαι,η and ι,,,
θεωριτε,θεωρειτε,"nonstandard ι, standard ει",,,
θεωρουνταις,θεωρουντες,"nonstandard αι, standard ε",,,
θηλαζωντων,θηλαζοντων,ο and ω,,,
θησαυριζεται,θησαυριζετε,"nonstandard αι, standard ε",,,
θησαυρων,θησαυρον,ο and ω,,,
θιας,θειας,"nonstandard ι, standard ει",,,
θιλαζουσαις,θηλαζουσαις,η and ι,,,
θιναι,θειναι,"standard ει, nonstandard ι",,,
θιον,θειον,"nonstandard ι, standard ει",,,
θιοτης,θειοτης,"nonstandard ι, standard ει",,,
θιου,θειου,"nonstandard ι, standard ει",,,
θιριον,θηριον,η and ι,,,
θις,θεις,"nonstandard ι, standard ει",,,
θισαυρους,θησαυρους,η and ι,,,
θισει,θησει,η and ι,,,
θιω,θειω,"nonstandard ι, standard ει",,,
θιωδεις,θειωδεις,"standard ει, nonstandard ι",,,
θλειβεσθαι,θλιβεσθαι,"nonstandard ει, standard ι",,,
θλειβομεθα,θλιβομεθα,"nonstandard ει, standard ι",,,
θλειβομενοι,θλιβομενοι,"nonstandard ει, standard ι",,,
θλειβομενοις,θλιβομενοις,"nonstandard ει, standard ι",,,
θλειβουσιν,θλιβουσιν,"nonstandard ει, standard ι",,,
θλειβωσιν,θλιβωσιν,"nonstandard ει, standard ι",,,
θλειψει,θλιψει,"standard ι, nonstandard ει",,,
θλειψεις,θλιψις,"nonstandard ει, standard ι",,,
θλειψεσιν,θλιψεσιν,"nonstandard ει, standard ι",,,
θλειψεων,θλιψεων,"nonstandard ει, standard ι",,,
θλειψεως,θλιψεως,"nonstandard ει, standard ι",,,
θλειψιν,θλιψιν,"nonstandard ει, standard ι",,,
θλειψις,θλιψις,"nonstandard ει, standard ι",,,
θλιψαιων,θλιψεων,"nonstandard αι, standard ε",,,
θλιψειν,θλιψιν,"nonstandard ει, standard ι",,,
θλιψι,θλιψει,"standard ει, nonstandard ι",,,
θορυβεισθαι,θορυβεισθε,"nonstandard αι, standard ε",,,
θορυβισθε,θορυβεισθε,"standard ει, nonstandard ι",,,
θρηνησεται,θρηνησετε,"nonstandard αι, standard ε",,,
θρησκια,θρησκεια,"nonstandard ι, standard ει",,,
θρησκιας,θρησκειας,"nonstandard ι, standard ει",,,
θρινησετε,θρηνησετε,η and ι,,,
θρινος,θρηνος,η and ι,,,
θρισκειας,θρησκειας,η and ι,,,
θροεισθαι,θροεισθε,"nonstandard αι, standard ε",,,
θροισθε,θροεισθε,"standard ει, nonstandard ι",,,
θρονων,θρονον,ο and ω,,,
θρωεισθε,θροεισθε,ο and ω,,,
θρωνοι,θρονοι,ο and ω,,,
θρωνου,θρονου,ο and ω,,,
θρωνους,θρονους,ο and ω,,,
θρωνω,θρονω,ο and ω,,,
θυατιροις,θυατειροις,"standard ει, nonstandard ι",,,
θυατιρων,θυατειρων,"nonstandard ι, standard ει",,,
θυγαταιρα,θυγατερα,"nonstandard αι, standard ε",,,
θυγατεραις,θυγατερες,"nonstandard αι, standard ε",,,
θυγατιρ,θυγατηρ,η and ι,,,
θυμωμαχων,θυμομαχων,ο and ω,,,
θυμων,θυμον,ο and ω,,,
θυουσιν,θυουσι,movable ν,,,
θυραιον,θυρεον,"nonstandard αι, standard ε",,,
θυσων,θυσον,ο and ω,,,
θωρυβεισθε,θορυβεισθε,ο and ω,,,
θωρυβον,θορυβον,ο and ω,,,
θωρυβος,θορυβος,ο and ω,,,
θωρυβου,θορυβου,ο and ω,,,
ιαθηται,ιαθητε,"nonstandard αι, standard ε",,,
ιαιρος,ιαειρος,"standard ει, nonstandard ι",,,
ιακωβων,ιακωβον,ο and ω,,,
ιασαν,ειασαν,"nonstandard ι, standard ει",,,
ιασατω,ιασατο,ο and ω,,,
ιασεν,ειασεν,"nonstandard ι, standard ει",,,
ιασωμαι,ιασομαι,ο and ω,,,
ιασωνα,ιασονα,ο and ω,,,
ιασωνος,ιασονος,ο and ω,,,
ιατραι,ιατρε,"nonstandard αι, standard ε",,,
ιατω,ιατο,ο and ω,,,
ιγαπημενην,ηγαπημενην,η and ι,,,
ιγγικεν,ηγγικεν,η and ι,,,
ιδαι,ιδε,"nonstandard αι, standard ε",,,
ιδαια,ιδεα,"nonstandard αι, standard ε",,,
ιδει,ηδει,η and ι,,,
ιδεια,ιδια,"nonstandard ει, standard ι",,,
ιδειαν,ιδιαν,"nonstandard ει, standard ι",,,
ιδειας,ιδιας,"nonstandard ει, standard ι",,,
ιδειους,ιδιους,"nonstandard ει, standard ι",,,
ιδεις,ηδεις,η and ι,,,
ιδεισαν,ηδεισαν,η and ι,,,
ιδειτε,ηδειτε,η and ι,,,
ιδεν,ειδεν,"nonstandard ι, standard ει",,,
ιδες,ειδες,"nonstandard ι, standard ει",,,
ιδεται,ιδετε,"nonstandard αι, standard ε",,,
ιδεως,ηδεως,η and ι,,,
ιδηται,ιδητε,"nonstandard αι, standard ε",,,
ιδιν,ιδειν,"standard ει, nonstandard ι",,,
ιδιτε,ιδητε,η and ι,,,
ιδομεν,ειδομεν,"nonstandard ι, standard ει",,,
ιδον,ειδον,"nonstandard ι, standard ει",,,
ιδονταις,ιδοντες,"nonstandard αι, standard ε",,,
ιδονων,ηδονων,η and ι,,,
ιδος,ειδος,"nonstandard ι, standard ει",,,
ιδοτα,ειδοτα,"nonstandard ι, standard ει",,,
ιδοτας,ειδοτας,"nonstandard ι, standard ει",,,
ιδοτες,ειδοτες,"nonstandard ι, standard ει",,,
ιδους,ειδους,"nonstandard ι, standard ει",,,
ιδυια,ειδυια,"standard ει, nonstandard ι",,,
ιδυοσμον,ηδυοσμον,η and ι,,,
ιδω,ειδω,"standard ει, nonstandard ι",,,
ιδωλα,ειδωλα,"nonstandard ι, standard ει",,,
ιδωλιω,ειδωλειω,"nonstandard ι, standard ει",,,
ιδωλοθυτα,ειδωλοθυτα,"nonstandard ι, standard ει",,,
ιδωλοθυτον,ειδωλοθυτον,"nonstandard ι, standard ει",,,
ιδωλοθυτων,ειδωλοθυτων,"nonstandard ι, standard ει",,,
ιδωλολατραι,ειδωλολατραι,"standard ει, nonstandard ι",,,
ιδωλολατραις,ειδωλολατραις,"standard ει, nonstandard ι",,,
ιδωλολατρια,ειδωλολατρεια,"nonstandard ι, standard ει",,,
ιδωλολατριας,ειδωλολατρειας,"nonstandard ι, standard ει",,,
ιδωλον,ειδωλον,"nonstandard ι, standard ει",,,
ιδωλω,ειδωλω,"nonstandard ι, standard ει",,,
ιδωλων,ειδωλων,"nonstandard ι, standard ει",,,
ιδωντες,ιδοντες,ο and ω,,,
ιδως,ειδως,"nonstandard ι, standard ει",,,
ιεραιων,ιερεων,"nonstandard αι, standard ε",,,
ιερατιαν,ιερατειαν,"standard ει, nonstandard ι",,,
ιερατιας,ιερατειας,"standard ει, nonstandard ι",,,
ιερεεις,ιερεις,"nonstandard ει, standard ι",,,
ιερειχω,ιεριχω,"nonstandard ει, standard ι",,,
ιερεμειου,ιερεμιου,"nonstandard ει, standard ι",,,
ιερι,ιερει,"standard ει, nonstandard ι",,,
ιερις,ιερεις,"standard ει, nonstandard ι",,,
ιεροπρεπις,ιεροπρεπεις,"standard ει, nonstandard ι",,,
ιεροσολλυμα,ιεροσολυμα,λ gemination,,,
ιεροσολυμειται,ιεροσολυμιται,"nonstandard ει, standard ι",,,
ιεροσολυμειτων,ιεροσολυμιτων,"nonstandard ει, standard ι",,,
ιεροσυλλους,ιεροσυλους,λ gemination,,,
ιεροσωλυμα,ιεροσολυμα,ο and ω,,,
ιεροσωλυμοις,ιεροσολυμοις,ο and ω,,,
ιεροσωλυμων,ιεροσολυμων,ο and ω,,,
ιερουσαλιμ,ιερουσαλημ,η and ι,,,
ιερων,ιερον,ο and ω,,,
ιερωσολυμα,ιεροσολυμα,ο and ω,,,
ιερωσολυμοις,ιεροσολυμοις,ο and ω,,,
ιερωσολυμων,ιεροσολυμων,ο and ω,,,
ιερωσυλους,ιεροσυλους,ο and ω,,,
ιεχωνιαν,ιεχονιαν,ο and ω,,,
ιεχωνιας,ιεχονιας,ο and ω,,,
ιθελεν,ηθελεν,η and ι,,,
ιθελον,ηθελον,η and ι,,,
ιθισμενον,ειθισμενον,"standard ει, nonstandard ι",,,
ικανου,εικανου,"standard ει, nonstandard ι",,,
ικανως,ικανος,ο and ω,,,
ικονειον,ικονιον,"nonstandard ει, standard ι",,,
ικονειω,ικονιω,"nonstandard ει, standard ι",,,
ικουσα,ηκουσα,η and ι,,,
ικουσατε,ηκουσατε,η and ι,,,
ικουσεν,ηκουσεν,η and ι,,,
ικων,εικων,"nonstandard ι, standard ει",,,
ικωνιω,ικονιω,ο and ω,,,
ιλθον,ηλθον,η and ι,,,
ιλιαν,ηλιαν,η and ι,,,
ιλιας,ηλιας,η and ι,,,
ιλικιαν,ηλικιαν,η and ι,,,
ιλικρινεις,ειλικρινεις,"standard ει, nonstandard ι",,,
ιλικρινη,ειλικρινη,"standard ει, nonstandard ι",,,
ιλιος,ηλιος,η and ι,,,
ιλιου,ηλιου,η and ι,,,
ιματεια,ιματια,"nonstandard ει, standard ι",,,
ιματειον,ιματιον,"standard ι, nonstandard ει",,,
ιμι,ειμι,"standard ει, nonstandard ι",,,
ιναγκαζον,ηναγκαζον,η and ι,,,
ιναγκασεν,ηναγκασεν,η and ι,,,
ιναγκασθην,ηναγκασθην,η and ι,,,
ιναι,ειναι,"standard ει, nonstandard ι",,,
ινεγκα,ηνεγκα,η and ι,,,
ινεγκαν,ηνεγκαν,η and ι,,,
ιοππι,ιοππη,η and ι,,,
ιοππιν,ιοππην,η and ι,,,
ιορδανι,ιορδανη,η and ι,,,
ιουδαιων,ιουδαιον,ο and ω,,,
ιουδαιως,ιουδαιος,ο and ω,,,
ιουλιως,ιουλιος,ο and ω,,,
ιουλλιος,ιουλιος,λ gemination,,,
ιουλλιω,ιουλιω,λ gemination,,,
ιπεν,ειπεν,"nonstandard ι, standard ει",,,
ιπης,ειπης,"standard ει, nonstandard ι",,,
ιππις,ιππεις,"standard ει, nonstandard ι",,,
ιππων,ιππον,ο and ω,,,
ιππως,ιππος,ο and ω,,,
ιπτοντο,ηπτοντο,η and ι,,,
ιραν,ηραν,η and ι,,,
ιρεις,ιρις,"nonstandard ει, standard ι",,,
ιρηνευετε,ειρηνευετε,"nonstandard ι, standard ει",,,
ιρηνη,ειρηνη,"nonstandard ι, standard ει",,,
ιρηνην,ειρηνην,"nonstandard ι, standard ει",,,
ιρηνης,ειρηνης,"nonstandard ι, standard ει",,,
ιρηνικη,ειρηνικη,"standard ει, nonstandard ι",,,
ιρηνικον,ειρηνικον,"standard ει, nonstandard ι",,,
ιρηνοποιοι,ειρηνοποιοι,"standard ει, nonstandard ι",,,
ιρξαντο,ηρξαντο,η and ι,,,
ιρωδη,ηρωδη,η and ι,,,
ιρωδης,ηρωδης,η and ι,,,
ιρωδιαδα,ηρωδιαδα,η and ι,,,
ιρωδιαδος,ηρωδιαδος,η and ι,,,
ιρωδιανων,ηρωδιανων,η and ι,,,
ιρωδου,ηρωδου,η and ι,,,
ιρωτα,ηρωτα,η and ι,,,
ισαιαν,ησαιαν,η and ι,,,
ισαιας,ησαιας,η and ι,,,
ισαιου,ησαιου,η and ι,,,
ισαν,ησαν,η and ι,,,
ισερχεσθε,εισερχεσθε,"standard ει, nonstandard ι",,,
ισηλθεν,εισηλθεν,"nonstandard ι, standard ει",,,
ισθα,ησθα,η and ι,,,
ισθει,ισθι,"nonstandard ει, standard ι",,,
ισθιον,ησθιον,η and ι,,,
ισιν,εισιν,"standard ει, nonstandard ι",,,
ισκαριωθ,εισκαριωθ,"standard ει, nonstandard ι",,,
ισκαριωτιν,ισκαριωτην,η and ι,,,
ισκαριωτις,ισκαριωτης,η and ι,,,
ισοτειμον,ισοτιμον,"nonstandard ει, standard ι",,,
ισραηλειται,ισραηλιται,"nonstandard ει, standard ι",,,
ισραηλειτης,ισραηλιτης,"nonstandard ει, standard ι",,,
ισραιλιται,ισραηλιται,η and ι,,,
ιστηκει,ειστηκει,"standard ει, nonstandard ι",,,
ιστηκεισαν,ειστηκεισαν,"standard ει, nonstandard ι",,,
ιστηκι,ειστηκει,"nonstandard ι, standard ει",,,
ιστηκισαν,ειστηκεισαν,"nonstandard ι, standard ει",,,
ισυχασαν,ησυχασαν,η and ι,,,
ισφαλισαντο,ησφαλισαντο,η and ι,,,
ισχυιν,ισχυειν,"standard ει, nonstandard ι",,,
ισχυονταις,ισχυοντες,"nonstandard αι, standard ε",,,
ισχυρωτερος,ισχυροτερος,ο and ω,,,
ισχυσαται,ισχυσατε,"nonstandard αι, standard ε",,,
ισχυων,ισχυον,ο and ω,,,
ισχυωντες,ισχυοντες,ο and ω,,,
ισχυως,ισχυος,ο and ω,,,
ιτα,ειτα,"standard ει, nonstandard ι",,,
ιταλειαν,ιταλιαν,"nonstandard ει, standard ι",,,
ιταλειας,ιταλιας,"nonstandard ει, standard ι",,,
ιφιεν,ηφιεν,η and ι,,,
ιχεν,ειχεν,"standard ει, nonstandard ι",,,
ιχθυδεια,ιχθυδια,"standard ι, nonstandard ει",,,
ιχον,ειχον,"standard ει, nonstandard ι",,,
ιψαντο,ηψαντο,η and ι,,,
ιψατο,ηψατο,η and ι,,,
ιωαννιν,ιωαννην,η and ι,,,
ιωθει,ειωθει,"standard ει, nonstandard ι",,,
ιωθι,ειωθει,"nonstandard ι, standard ει",,,
ιωθος,ειωθος,"nonstandard ι, standard ει",,,
ιων,ειων,"nonstandard ι, standard ει",,,
ιωππη,ιοππη,ο and ω,,,
ιωππην,ιοππην,ο and ω,,,
ιωππης,ιοππης,ο and ω,,,
ιωρδανη,ιορδανη,ο and ω,,,
ιωρδανην,ιορδανην,ο and ω,,,
ιωρδανου,ιορδανου,ο and ω,,,
ιωριμ,ιωρειμ,"standard ει, nonstandard ι",,,
ιωσειαν,ιωσιαν,"nonstandard ει, standard ι",,,
ιωσειας,ιωσιας,"nonstandard ει, standard ι",,,
ιωσι,ιωση,η and ι,,,
ιωσιφ,ιωσηφ,η and ι,,,
καθαιρισθαι,καθαιρεισθαι,"standard ει, nonstandard ι",,,
καθαρει,καθαροι,"standard ι, nonstandard ει",,,
καθαρεισμου,καθαρισμου,"nonstandard ει, standard ι",,,
καθαριζεται,καθαριζετε,"nonstandard αι, standard ε",,,
καθαριζων,καθαριζον,ο and ω,,,
καθαριζωνται,καθαριζονται,ο and ω,,,
καθαρισθητει,καθαρισθητι,"standard ι, nonstandard ει",,,
καθαρων,καθαρον,ο and ω,,,
καθαρως,καθαρος,ο and ω,,,
καθεζωμενοι,καθεζομενοι,ο and ω,,,
καθεζωμενον,καθεζομενον,ο and ω,,,
καθειεμενον,καθιεμενον,"nonstandard ει, standard ι",,,
καθεισαι,καθισαι,"nonstandard ει, standard ι",,,
καθεισαντες,καθισαντες,"nonstandard ει, standard ι",,,
καθεισαντος,καθισαντος,"nonstandard ει, standard ι",,,
καθεισας,καθισας,"nonstandard ει, standard ι",,,
καθεισατε,καθισατε,"nonstandard ει, standard ι",,,
καθειση,καθιση,"standard ι, nonstandard ει",,,
καθειστησιν,καθιστησιν,"nonstandard ει, standard ι",,,
καθεισωμεν,καθισωμεν,"standard ι, nonstandard ει",,,
καθελιν,καθελειν,"nonstandard ι, standard ει",,,
καθελωντες,καθελοντες,ο and ω,,,
καθεξις,καθεξης,η and ι,,,
καθευδεται,καθευδετε,"nonstandard αι, standard ε",,,
καθευδι,καθευδει,"nonstandard ι, standard ει",,,
καθευδιν,καθευδειν,"nonstandard ι, standard ει",,,
καθευδις,καθευδεις,"nonstandard ι, standard ει",,,
καθευδωντας,καθευδοντας,ο and ω,,,
καθηγητις,καθηγητης,η and ι,,,
καθηγιτης,καθηγητης,η and ι,,,
καθημενων,καθημενον,ο and ω,,,
καθιγητης,καθηγητης,η and ι,,,
καθικαν,καθηκαν,η and ι,,,
καθικεν,καθηκεν,η and ι,,,
καθιλεν,καθειλεν,"nonstandard ι, standard ει",,,
καθιμεναι,καθημεναι,η and ι,,,
καθιμενην,καθημενην,η and ι,,,
καθιμενοι,καθημενοι,η and ι,,,
καθιμενον,καθημενον,η and ι,,,
καθιμενος,καθημενος,η and ι,,,
καθιμενου,καθημενου,η and ι,,,
καθιμενους,καθημενους,η and ι,,,
καθιμενω,καθημενω,η and ι,,,
καθισεσθαι,καθισεσθε,"nonstandard αι, standard ε",,,
καθισθαι,καθησθαι,η and ι,,,
καθισι,καθιση,η and ι,,,
καθιται,καθηται,η and ι,,,
καικαλυμμενον,κεκαλυμμενον,"nonstandard αι, standard ε",,,
καικερασμενου,κεκερασμενου,"nonstandard αι, standard ε",,,
καικλημενους,κεκλημενους,"nonstandard αι, standard ε",,,
καικοιμημενων,κεκοιμημενων,"nonstandard αι, standard ε",,,
καικονιαμεναι,κεκονιαμενε,"nonstandard αι, standard ε",,,
καικονιαμενε,κεκονιαμενε,"nonstandard αι, standard ε",,,
καικονιαμενοις,κεκονιαμενοις,"nonstandard αι, standard ε",,,
καικοσμημενοι,κεκοσμημενοι,"nonstandard αι, standard ε",,,
καικρικατε,κεκρικατε,"nonstandard αι, standard ε",,,
καικρυμμενα,κεκρυμμενα,"nonstandard αι, standard ε",,,
καικρυμμενω,κεκρυμμενω,"nonstandard αι, standard ε",,,
καιλευεις,κελευεις,"nonstandard αι, standard ε",,,
καιλευσον,κελευσον,"nonstandard αι, standard ε",,,
καινα,κενα,"nonstandard αι, standard ε",,,
καινε,κενε,"nonstandard αι, standard ε",,,
καινεις,καιναις,"standard ι, nonstandard ει",,,
καινη,κενη,"nonstandard αι, standard ε",,,
καινης,κενης,"nonstandard αι, standard ε",,,
καινοις,κενοις,"nonstandard αι, standard ε",,,
καινος,κενος,"nonstandard αι, standard ε",,,
καινων,καινον,ο and ω,,,
καινως,κενως,"nonstandard αι, standard ε",,,
καινωτερον,καινοτερον,ο and ω,,,
καιραμαιως,κεραμεως,"nonstandard αι, standard ε",,,
καιραμεως,κεραμεως,"nonstandard αι, standard ε",,,
καιραμιον,κεραμιον,"nonstandard αι, standard ε",,,
καιρατα,κερατα,"nonstandard αι, standard ε",,,
καιρων,καιρον,ο and ω,,,
καιρως,καιρος,ο and ω,,,
καισαρει,καισαρι,"nonstandard ει, standard ι",,,
καισαρια,καισαρεια,"standard ει, nonstandard ι",,,
καισαριαν,καισαρειαν,"standard ει, nonstandard ι",,,
καισαριας,καισαρειας,"standard ει, nonstandard ι",,,
καιφαλας,κεφαλας,"nonstandard αι, standard ε",,,
καιφαλην,κεφαλην,"nonstandard αι, standard ε",,,
καιφαλης,κεφαλης,"nonstandard αι, standard ε",,,
καιχαριτωμενη,κεχαριτωμενη,"nonstandard αι, standard ε",,,
καιωμεναι,καιομεναι,ο and ω,,,
καιωμενης,καιομενης,ο and ω,,,
κακεια,κακια,"standard ι, nonstandard ει",,,
κακειαν,κακιαν,"nonstandard ει, standard ι",,,
κακειας,κακιας,"nonstandard ει, standard ι",,,
κακι,κακει,"nonstandard ι, standard ει",,,
κακιθεν,κακειθεν,"nonstandard ι, standard ει",,,
κακινα,κακεινα,"nonstandard ι, standard ει",,,
κακινοι,κακεινοι,"standard ει, nonstandard ι",,,
κακινον,κακεινον,"nonstandard ι, standard ει",,,
κακινος,κακεινος,"nonstandard ι, standard ει",,,
κακοηθιας,κακοηθειας,"nonstandard ι, standard ει",,,
κακολογισαι,κακολογησαι,η and ι,,,
κακοπαθι,κακοπαθει,"nonstandard ι, standard ει",,,
κακοπαθιας,κακοπαθειας,"nonstandard ι, standard ει",,,
κακων,κακον,ο and ω,,,
κακωποιησαι,κακοποιησαι,ο and ω,,,
κακως,κακος,ο and ω,,,
καλαμων,καλαμον,ο and ω,,,
καλεσαται,καλεσατε,"nonstandard αι, standard ε",,,
καλεσηται,καλεσητε,"nonstandard αι, standard ε",,,
καλεσις,καλεσεις,"standard ει, nonstandard ι",,,
καλι,καλει,"nonstandard ι, standard ει",,,
καλισθαι,καλεισθαι,"standard ει, nonstandard ι",,,
καλιται,καλειται,"standard ει, nonstandard ι",,,
καλλα,καλα,λ gemination,,,
καλλειον,καλλιον,"nonstandard ει, standard ι",,,
καλλην,καλην,λ gemination,,,
καλλον,καλον,λ gemination,,,
καλλως,καλως,λ gemination,,,
καλυπτι,καλυπτει,"nonstandard ι, standard ει",,,
καλυψαται,καλυψατε,"nonstandard αι, standard ε",,,
καλων,καλον,ο and ω,,,
καμεινον,καμινον,"nonstandard ει, standard ι",,,
καμεινου,καμινου,"nonstandard ει, standard ι",,,
καμηλλον,καμηλον,λ gemination,,,
καμηλλου,καμηλου,λ gemination,,,
καμιλον,καμηλον,η and ι,,,
καμιλου,καμηλου,η and ι,,,
κανανειτην,κανανιτην,"nonstandard ει, standard ι",,,
κανανιτιν,κανανιτην,η and ι,,,
κανανιτις,κανανιτης,η and ι,,,
κανδακις,κανδακης,η and ι,,,
καπνων,καπνον,ο and ω,,,
καππαδοκειας,καππαδοκιας,"nonstandard ει, standard ι",,,
καππαδωκιαν,καππαδοκιαν,ο and ω,,,
καρδεια,καρδια,"standard ι, nonstandard ει",,,
καρδειαν,καρδιαν,"nonstandard ει, standard ι",,,
καρδιογνωστις,καρδιογνωστης,η and ι,,,
καρδιωγνωστα,καρδιογνωστα,ο and ω,,,
καρποφορι,καρποφορει,"nonstandard ι, standard ει",,,
καρποφωρει,καρποφορει,ο and ω,,,
καρποφωρουσιν,καρποφορουσιν,ο and ω,,,
καρπων,καρπον,ο and ω,,,
καταβαινι,καταβαινει,"standard ει, nonstandard ι",,,
καταβαινων,καταβαινον,ο and ω,,,
καταβαινωντων,καταβαινοντων,ο and ω,,,
